reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2022.2706","bivalve molluscs and products thereof","food","Withdrawal of shells following the closure of a French fishing area as a result of a risk of Norovirus contamination)","09-05-2022 09:33:49","France","alert notification","serious","","","","","","",""
"2022.2628","fish and products thereof ","food","Mercury in fish from Indonesia","05-05-2022 13:14:08","Germany","border rejection notification","serious","","","","","","",""
"2022.2489","fish and products thereof ","food","Anisakis find by a consumer in fish sticks made in Germany","28-04-2022 18:47:59","France","information notification for follow-up","undecided","","","","","","",""
"2022.2144","fish and products thereof ","food","prodotti della pesca trasformati (semiconserve) elaborati e confezionati in stabilimento non riconosciuto//processed (semi-preserved) fishery products manufactured and packaged in a non-approved establishment","11-04-2022 11:51:27","Italy","information notification for follow-up","undecided","","","","","","",""
"2022.2079","fats and oils","other","FISH OIL","07-04-2022 13:34:21","Portugal","border rejection notification","undecided","","","","","","",""
"2022.2012","fish and products thereof ","food","Presence of mercury above legal limits in swordfish from Spain","05-04-2022 16:42:29","Italy","alert notification","serious","","","","","","",""
"2022.1721","cocoa and cocoa preparations, coffee and tea","food","Undeclared allergen fish in instant coffee","23-03-2022 17:46:16","Sweden","alert notification","serious","","","","","","",""
"2022.1664","feed materials","feed","Presence of ruminant DNA in fish feed from Thailand","22-03-2022 12:00:13","Cyprus","border rejection notification","serious","","","","","","",""
"2022.0945","soups, broths, sauces and condiments","food","Unauthorised third country (without approved residue monitoring plan for fishery products) in oyster sauce from China.","16-03-2022 13:17:12","Spain","border rejection notification","not serious","","","","","","",""
"2022.1525","prepared dishes and snacks","food","milk ingredient, fish, crustaceans and molluscs undeclared (labelling not in English) in frozen paella from Belgium","15-03-2022 17:24:55","Ireland","alert notification","serious","","","","","","",""
"2021.5771","fish and products thereof ","food"," Identity check: label / document mismatch / fish / Mauritania","15-03-2022 16:21:54","Spain","border rejection notification","no risk","","","","","","",""
"2022.1375","fish and products thereof ","food"," breaded fish - Foreign body","08-03-2022 15:11:01","France","alert notification","undecided","","","","","","",""
"2022.1371","fish and products thereof ","food","Listeria monocytogenes in smoked fish from France ","08-03-2022 14:15:57","France","alert notification","serious","","","","","","",""
"2022.0676","fish and products thereof ","food","Cantidad y contenido de la partida no amparada por el certificado oficial en pescado (varias especies)de Mauritania. Quantity (excess) and contend of consignment not provided in the official certificates Boxes without idetification mark in Fishery products (vaious species)from Mauritania","23-02-2022 11:35:39","Spain","border rejection notification","not serious","","","","","","",""
"2022.1020","fish and products thereof ","food","Mercury in fish.","22-02-2022 11:07:20","Netherlands","border rejection notification","serious","","","","","","",""
"2022.1004","feed materials","feed","Clostridium perfringens in fishmeal from Latvia","21-02-2022 16:21:02","Romania","information notification for attention","not serious","","","","","","",""
